Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/18,5499,11483,253490,123,7
1/2/18,18818,39352,253558,125,12
1/3/18,24299,42853,253591,164,4
1/4/18,1922,5328,253604,2,1
1/5/18,4972,14303,253614,14,0
1/6/18,4294,9479,253624,9,2
1/7/18,5640,9387,253640,41,4
1/8/18,15820,31294,253661,45,4
1/9/18,25090,50981,253690,112,17
1/10/18,28252,50218,253720,142,18
1/11/18,33961,66584,253757,244,15
1/12/18,22252,46403,253786,152,16
1/13/18,17758,30418,253809,355,31
1/14/18,12394,32949,253827,183,9
1/15/18,17637,41770,253857,150,8
1/16/18,30278,60053,253895,189,13
1/17/18,19010,36319,253921,52,12
1/18/18,27662,52573,253952,92,18
1/19/18,30525,50322,253983,216,15
1/20/18,28507,59336,254025,1044,41
1/21/18,27908,61571,254092,1013,26
1/22/18,36864,68638,254144,345,25
1/23/18,28796,63693,254191,179,19
1/24/18,36078,69596,254236,232,32
1/25/18,31147,51927,254263,181,16
1/26/18,33073,61857,254301,313,23
1/27/18,34348,70146,254368,1415,41
1/28/18,20100,38221,254415,334,22
1/29/18,36799,68868,254466,274,33
1/30/18,27996,59260,254492,114,15
1/31/18,31276,54440,254539,141,19
